"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE PRICE 
","LTP 
","%CHNG 
","VOLUME 
(Contracts)","VALUE* 
(₹ Lakhs)","OPEN INTEREST 
(Contracts)","VALUE OF UNDERLYING 
"
"Index Options","NIFTY","27-Jan-2026","Put","25,000.00","67.95","150.74","83,21,643","2,77,268.82","1,18,164","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","25,200.00","168.30","153.85","81,93,074","5,05,656.04","51,803","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,300.00","35.55","-75.61","76,54,461","4,44,601.71","2,03,144","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","25,300.00","243.85","143.48","73,07,436","5,92,874.20","67,116","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","25,100.00","110.80","164.12","72,92,666","3,75,094.63","76,524","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","25,250.00","204.70","144.86","60,30,720","4,10,381.45","22,103","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,400.00","21.15","-77.95","56,35,741","2,02,283.65","1,74,012","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","25,050.00","87.20","156.85","52,02,769","2,37,030.35","46,570","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,500.00","13.15","-77.44","48,74,867","96,232.31","2,59,063","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,200.00","59.25","-71.44","46,83,019","3,36,357.84","1,45,127","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,350.00","27.60","-76.92","46,63,632","2,23,108.15","1,13,605","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","25,150.00","137.35","156.49","45,99,394","2,51,844.42","31,558","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","24,900.00","39.30","129.82","41,49,268","86,304.77","88,166","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,250.00","45.80","-73.75","40,97,020","2,67,051.96","79,800","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","24,800.00","22.25","102.27","32,90,810","43,272.51","97,138","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","24,950.00","52.15","138.13","31,07,351","81,942.40","36,671","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,100.00","100.65","-64.57","28,46,149","2,35,689.60","1,03,768","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,450.00","16.80","-77.66","28,01,978","74,727.35","79,139","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Call","25,600.00","9.00","-73.45","27,53,197","30,208.08","1,33,016","25,048.65"
"Index Options","NIFTY","27-Jan-2026","Put","25,350.00","286.70","143.59","25,62,238","2,46,537.26","17,547","25,048.65"
